As on Wed| Dec 06 2017| 23:15 GMT
base_currency_complete_name,base_currency,other_currency,other_per_base
UK Pound Sterling (GBP),GBP,XDR,0.9466
UK Pound Sterling (GBP),GBP,INR,86.3585
UK Pound Sterling (GBP),GBP,IDR,18121.5311
UK Pound Sterling (GBP),GBP,IRR,47244.4193
UK Pound Sterling (GBP),GBP,IQD,1600.1766
UK Pound Sterling (GBP),GBP,ILS,4.7055
UK Pound Sterling (GBP),GBP,JMD,167.6887
UK Pound Sterling (GBP),GBP,JOD,0.9488
UK Pound Sterling (GBP),GBP,KES,137.7058
UK Pound Sterling (GBP),GBP,KWD,0.4039
UK Pound Sterling (GBP),GBP,LBP,2017.422
UK Pound Sterling (GBP),GBP,MYR,5.4542
UK Pound Sterling (GBP),GBP,MUR,45.1587
UK Pound Sterling (GBP),GBP,MXN,25.256
UK Pound Sterling (GBP),GBP,MAD,12.6418
UK Pound Sterling (GBP),GBP,NZD,1.9457
UK Pound Sterling (GBP),GBP,NOK,11.0645
UK Pound Sterling (GBP),GBP,OMR,0.5146
UK Pound Sterling (GBP),GBP,PEN,4.3298
UK Pound Sterling (GBP),GBP,PHP,67.8854
UK Pound Sterling (GBP),GBP,PLN,4.7767
UK Pound Sterling (GBP),GBP,QAR,4.8713
UK Pound Sterling (GBP),GBP,RON,5.2498
UK Pound Sterling (GBP),GBP,RUB,79.2176
UK Pound Sterling (GBP),GBP,SAR,5.0185
UK Pound Sterling (GBP),GBP,SGD,1.8054
UK Pound Sterling (GBP),GBP,SKK,1.3383
UK Pound Sterling (GBP),GBP,ZAR,18.0966
UK Pound Sterling (GBP),GBP,KRW,1463.2668
UK Pound Sterling (GBP),GBP,LKR,205.2756
UK Pound Sterling (GBP),GBP,SDG,8.9644
UK Pound Sterling (GBP),GBP,SEK,11.278
UK Pound Sterling (GBP),GBP,CHF,1.3243
UK Pound Sterling (GBP),GBP,TWD,40.1624
UK Pound Sterling (GBP),GBP,THB,43.6562
UK Pound Sterling (GBP),GBP,TTD,9.0158
UK Pound Sterling (GBP),GBP,TND,3.3264
UK Pound Sterling (GBP),GBP,TRY,5.1547
UK Pound Sterling (GBP),GBP,VEF,13.3658
