As on Sat| Nov 04 2017| 14:15 GMT
base_currency_complete_name,base_currency,other_currency,other_per_base
Japanese Yen (JPY),JPY,NZD,0.0127
Japanese Yen (JPY),JPY,NOK,0.0717
Japanese Yen (JPY),JPY,OMR,0.0034
Japanese Yen (JPY),JPY,PEN,0.0287
Japanese Yen (JPY),JPY,PHP,0.4498
Japanese Yen (JPY),JPY,PLN,0.0321
Japanese Yen (JPY),JPY,QAR,0.0319
Japanese Yen (JPY),JPY,RON,0.0346
Japanese Yen (JPY),JPY,RUB,0.5184
Japanese Yen (JPY),JPY,SAR,0.033
Japanese Yen (JPY),JPY,SGD,0.012
Japanese Yen (JPY),JPY,SKK,0.0088
Japanese Yen (JPY),JPY,ZAR,0.1249
Japanese Yen (JPY),JPY,KRW,9.7785
Japanese Yen (JPY),JPY,LKR,1.3469
Japanese Yen (JPY),JPY,SDG,0.0585
Japanese Yen (JPY),JPY,SEK,0.0741
Japanese Yen (JPY),JPY,CHF,0.0088
Japanese Yen (JPY),JPY,TWD,0.2648
Japanese Yen (JPY),JPY,THB,0.2915
Japanese Yen (JPY),JPY,TTD,0.0588
Japanese Yen (JPY),JPY,TND,0.0219
Japanese Yen (JPY),JPY,TRY,0.0341
Japanese Yen (JPY),JPY,VEF,0.0967
Japanese Yen (JPY),JPY,VND,198.9462
Japanese Yen (JPY),JPY,ZMK,0.0088
Pakistan Rupee (PKR),PKR,AUD,0.0124                        
Pakistan Rupee (PKR),PKR,CAD,0.0121                        
Pakistan Rupee (PKR),PKR,EUR,0.0082                        
Pakistan Rupee (PKR),PKR,JPY,1.0822                        
Pakistan Rupee (PKR),PKR,PKR,1                        
Pakistan Rupee (PKR),PKR,AED,0.0348                        
Pakistan Rupee (PKR),PKR,GBP,0.0073                        
Pakistan Rupee (PKR),PKR,USD,0.0095                        
Pakistan Rupee (PKR),PKR,AFN,0.6488
Pakistan Rupee (PKR),PKR,ALL,1.0904
Pakistan Rupee (PKR),PKR,DZD,1.1013
Pakistan Rupee (PKR),PKR,ARS,0.1673
Pakistan Rupee (PKR),PKR,BSD,0.0095
Pakistan Rupee (PKR),PKR,BHD,0.0036
Pakistan Rupee (PKR),PKR,BDT,0.787
Pakistan Rupee (PKR),PKR,BBD,0.019
Pakistan Rupee (PKR),PKR,BMD,0.0095
Pakistan Rupee (PKR),PKR,BRL,0.0314
Pakistan Rupee (PKR),PKR,BGN,0.0159
Pakistan Rupee (PKR),PKR,XOF,5.3598
Pakistan Rupee (PKR),PKR,XAF,5.3598
Pakistan Rupee (PKR),PKR,CLP,6.0211
Pakistan Rupee (PKR),PKR,CNY,0.063
Pakistan Rupee (PKR),PKR,COP,28.801
Pakistan Rupee (PKR),PKR,XPF,0.9751
Pakistan Rupee (PKR),PKR,CRC,5.4158
Pakistan Rupee (PKR),PKR,HRK,0.0616
Pakistan Rupee (PKR),PKR,CZK,0.2097
Pakistan Rupee (PKR),PKR,DKK,0.0609
Pakistan Rupee (PKR),PKR,DOP,0.4479
Pakistan Rupee (PKR),PKR,XCD,0.0256
Pakistan Rupee (PKR),PKR,EGP,0.1675
Pakistan Rupee (PKR),PKR,EEK,0.0095
Pakistan Rupee (PKR),PKR,FJD,0.0199
Pakistan Rupee (PKR),PKR,HKD,0.074
Pakistan Rupee (PKR),PKR,HUF,2.5517
Pakistan Rupee (PKR),PKR,ISK,1.0092
Pakistan Rupee (PKR),PKR,XDR,0.0068
Pakistan Rupee (PKR),PKR,INR,0.6126
Pakistan Rupee (PKR),PKR,IDR,128.0918
Pakistan Rupee (PKR),PKR,IRR,331.7911
Pakistan Rupee (PKR),PKR,IQD,11.0692
Pakistan Rupee (PKR),PKR,ILS,0.0333
Pakistan Rupee (PKR),PKR,JMD,1.1993
Pakistan Rupee (PKR),PKR,JOD,0.0067
Pakistan Rupee (PKR),PKR,KES,0.985
Pakistan Rupee (PKR),PKR,KWD,0.0029
Pakistan Rupee (PKR),PKR,LBP,14.3126
Pakistan Rupee (PKR),PKR,MYR,0.0402
Pakistan Rupee (PKR),PKR,MUR,0.329
Pakistan Rupee (PKR),PKR,MXN,0.1829
Pakistan Rupee (PKR),PKR,MAD,0.0904
Pakistan Rupee (PKR),PKR,NZD,0.0137
Pakistan Rupee (PKR),PKR,NOK,0.0776
Pakistan Rupee (PKR),PKR,OMR,0.0037
Pakistan Rupee (PKR),PKR,PEN,0.031
Pakistan Rupee (PKR),PKR,PHP,0.4868
Pakistan Rupee (PKR),PKR,PLN,0.0347
Pakistan Rupee (PKR),PKR,QAR,0.0345
Pakistan Rupee (PKR),PKR,RON,0.0375
Pakistan Rupee (PKR),PKR,RUB,0.5611
Pakistan Rupee (PKR),PKR,SAR,0.0357
Pakistan Rupee (PKR),PKR,SGD,0.013
Pakistan Rupee (PKR),PKR,SKK,0.0095
Pakistan Rupee (PKR),PKR,ZAR,0.1352
Pakistan Rupee (PKR),PKR,KRW,10.5824
Pakistan Rupee (PKR),PKR,LKR,1.4576
Pakistan Rupee (PKR),PKR,SDG,0.0633
Pakistan Rupee (PKR),PKR,SEK,0.0802
Pakistan Rupee (PKR),PKR,CHF,0.0095
Pakistan Rupee (PKR),PKR,TWD,0.2865
Pakistan Rupee (PKR),PKR,THB,0.3155
Pakistan Rupee (PKR),PKR,TTD,0.0637
Pakistan Rupee (PKR),PKR,TND,0.0237
Pakistan Rupee (PKR),PKR,TRY,0.0369
Pakistan Rupee (PKR),PKR,VEF,0.1046
Pakistan Rupee (PKR),PKR,VND,215.3016
Pakistan Rupee (PKR),PKR,ZMK,0.0095
U.A.E Dirham (AED),AED,AUD,0.3559                        
U.A.E Dirham (AED),AED,CAD,0.3475                        
U.A.E Dirham (AED),AED,EUR,0.2346                        
U.A.E Dirham (AED),AED,JPY,31.0659                        
U.A.E Dirham (AED),AED,PKR,28.7059                        
U.A.E Dirham (AED),AED,AED,1                        
U.A.E Dirham (AED),AED,GBP,0.2083                        
U.A.E Dirham (AED),AED,USD,0.2724                        
U.A.E Dirham (AED),AED,AFN,18.6231
U.A.E Dirham (AED),AED,ALL,31.302
U.A.E Dirham (AED),AED,DZD,31.6137
U.A.E Dirham (AED),AED,ARS,4.8013
U.A.E Dirham (AED),AED,BSD,0.2724
U.A.E Dirham (AED),AED,BHD,0.1026
U.A.E Dirham (AED),AED,BDT,22.5922
U.A.E Dirham (AED),AED,BBD,0.5448
U.A.E Dirham (AED),AED,BMD,0.2724
U.A.E Dirham (AED),AED,BRL,0.9026
U.A.E Dirham (AED),AED,BGN,0.4571
