As on Wed| Dec 06 2017| 22:45 GMT
base_currency_complete_name,base_currency,other_currency,other_per_base
Pakistan Rupee (PKR),PKR,QAR,0.0345
Pakistan Rupee (PKR),PKR,RON,0.0372
Pakistan Rupee (PKR),PKR,RUB,0.5615
Pakistan Rupee (PKR),PKR,SAR,0.0356
Pakistan Rupee (PKR),PKR,SGD,0.0128
Pakistan Rupee (PKR),PKR,SKK,0.0095
Pakistan Rupee (PKR),PKR,ZAR,0.1282
Pakistan Rupee (PKR),PKR,KRW,10.3745
Pakistan Rupee (PKR),PKR,LKR,1.4551
Pakistan Rupee (PKR),PKR,SDG,0.0636
Pakistan Rupee (PKR),PKR,SEK,0.0799
Pakistan Rupee (PKR),PKR,CHF,0.0094
Pakistan Rupee (PKR),PKR,TWD,0.2847
Pakistan Rupee (PKR),PKR,THB,0.3097
Pakistan Rupee (PKR),PKR,TTD,0.0639
Pakistan Rupee (PKR),PKR,TND,0.0236
Pakistan Rupee (PKR),PKR,TRY,0.0365
Pakistan Rupee (PKR),PKR,VEF,0.0947
Pakistan Rupee (PKR),PKR,VND,215.6663
Pakistan Rupee (PKR),PKR,ZMK,0.0095
U.A.E Dirham (AED),AED,AUD,0.3599                        
U.A.E Dirham (AED),AED,CAD,0.3482                        
U.A.E Dirham (AED),AED,EUR,0.2307                        
U.A.E Dirham (AED),AED,JPY,30.5696                        
U.A.E Dirham (AED),AED,PKR,28.7038                        
U.A.E Dirham (AED),AED,AED,1                        
U.A.E Dirham (AED),AED,GBP,0.2035                        
U.A.E Dirham (AED),AED,USD,0.2723                        
U.A.E Dirham (AED),AED,AFN,18.7683
U.A.E Dirham (AED),AED,ALL,30.8802
U.A.E Dirham (AED),AED,DZD,31.399
U.A.E Dirham (AED),AED,ARS,4.6964
U.A.E Dirham (AED),AED,BSD,0.2723
U.A.E Dirham (AED),AED,BHD,0.1024
U.A.E Dirham (AED),AED,BDT,22.5934
U.A.E Dirham (AED),AED,BBD,0.5446
U.A.E Dirham (AED),AED,BMD,0.2723
U.A.E Dirham (AED),AED,BRL,0.8811
U.A.E Dirham (AED),AED,BGN,0.4512
U.A.E Dirham (AED),AED,XOF,151.3305
U.A.E Dirham (AED),AED,XAF,151.3305
U.A.E Dirham (AED),AED,CLP,178.0257
U.A.E Dirham (AED),AED,CNY,1.8012
U.A.E Dirham (AED),AED,COP,819.3194
U.A.E Dirham (AED),AED,XPF,27.5301
U.A.E Dirham (AED),AED,CRC,154.0795
U.A.E Dirham (AED),AED,HRK,1.7408
U.A.E Dirham (AED),AED,CZK,5.912
U.A.E Dirham (AED),AED,DKK,1.7167
U.A.E Dirham (AED),AED,DOP,13.0863
U.A.E Dirham (AED),AED,XCD,0.7352
U.A.E Dirham (AED),AED,EGP,4.8446
U.A.E Dirham (AED),AED,EEK,0.2723
U.A.E Dirham (AED),AED,FJD,0.5675
U.A.E Dirham (AED),AED,HKD,2.1272
U.A.E Dirham (AED),AED,HUF,72.5091
U.A.E Dirham (AED),AED,ISK,28.4695
U.A.E Dirham (AED),AED,XDR,0.1926
U.A.E Dirham (AED),AED,INR,17.5708
U.A.E Dirham (AED),AED,IDR,3685.6234
U.A.E Dirham (AED),AED,IRR,9612.2113
U.A.E Dirham (AED),AED,IQD,325.7229
U.A.E Dirham (AED),AED,ILS,0.9574
U.A.E Dirham (AED),AED,JMD,34.1708
U.A.E Dirham (AED),AED,JOD,0.1931
U.A.E Dirham (AED),AED,KES,28.0189
U.A.E Dirham (AED),AED,KWD,0.0822
U.A.E Dirham (AED),AED,LBP,410.4833
U.A.E Dirham (AED),AED,MYR,1.1097
U.A.E Dirham (AED),AED,MUR,9.1856
U.A.E Dirham (AED),AED,MXN,5.1366
U.A.E Dirham (AED),AED,MAD,2.5734
U.A.E Dirham (AED),AED,NZD,0.3961
U.A.E Dirham (AED),AED,NOK,2.2512
U.A.E Dirham (AED),AED,OMR,0.1047
U.A.E Dirham (AED),AED,PEN,0.881
U.A.E Dirham (AED),AED,PHP,13.8122
U.A.E Dirham (AED),AED,PLN,0.972
U.A.E Dirham (AED),AED,QAR,0.9912
U.A.E Dirham (AED),AED,RON,1.0683
U.A.E Dirham (AED),AED,RUB,16.1184
U.A.E Dirham (AED),AED,SAR,1.0211
U.A.E Dirham (AED),AED,SGD,0.3673
U.A.E Dirham (AED),AED,SKK,0.2723
U.A.E Dirham (AED),AED,ZAR,3.6811
U.A.E Dirham (AED),AED,KRW,297.787
U.A.E Dirham (AED),AED,LKR,41.7672
U.A.E Dirham (AED),AED,SDG,1.8243
U.A.E Dirham (AED),AED,SEK,2.2944
U.A.E Dirham (AED),AED,CHF,0.2694
U.A.E Dirham (AED),AED,TWD,8.1708
U.A.E Dirham (AED),AED,THB,8.8882
U.A.E Dirham (AED),AED,TTD,1.8353
U.A.E Dirham (AED),AED,TND,0.6777
U.A.E Dirham (AED),AED,TRY,1.0484
U.A.E Dirham (AED),AED,VEF,2.7195
U.A.E Dirham (AED),AED,VND,6190.4343
U.A.E Dirham (AED),AED,ZMK,0.2723
UK Pound Sterling (GBP),GBP,AUD,1.7691                        
UK Pound Sterling (GBP),GBP,CAD,1.7116                        
UK Pound Sterling (GBP),GBP,EUR,1.1339                        
UK Pound Sterling (GBP),GBP,JPY,150.2489                        
UK Pound Sterling (GBP),GBP,PKR,141.0783                        
UK Pound Sterling (GBP),GBP,AED,4.915                        
UK Pound Sterling (GBP),GBP,GBP,1                        
UK Pound Sterling (GBP),GBP,USD,1.3383                        
UK Pound Sterling (GBP),GBP,AFN,92.2457
UK Pound Sterling (GBP),GBP,ALL,151.7754
UK Pound Sterling (GBP),GBP,DZD,154.3254
UK Pound Sterling (GBP),GBP,ARS,23.0825
UK Pound Sterling (GBP),GBP,BSD,1.3383
UK Pound Sterling (GBP),GBP,BHD,0.5032
UK Pound Sterling (GBP),GBP,BDT,111.0458
UK Pound Sterling (GBP),GBP,BBD,2.6766
UK Pound Sterling (GBP),GBP,BMD,1.3383
UK Pound Sterling (GBP),GBP,BRL,4.3307
UK Pound Sterling (GBP),GBP,BGN,2.2177
UK Pound Sterling (GBP),GBP,XOF,743.7857
UK Pound Sterling (GBP),GBP,XAF,743.7857
UK Pound Sterling (GBP),GBP,CLP,874.9918
UK Pound Sterling (GBP),GBP,CNY,8.8527
